model,rmse,mae,r2,train_time
Linear Regression,175.05042405121822,84.3968113165122,0.3481423114167054,15.39
Decision Tree Regressor,177.26319473164466,81.12151717308078,0.3315581965315656,14.75
Random Forest Regressor,169.90436286341608,79.03573157727149,0.38590505849027956,71.08
