model,accuracy,precision,recall,f1,auc,train_time
Logistic Regression,0.7736709899010612,0.7026651854712479,0.7736709899010612,0.6826849883742941,0.6077224390138044,18.33
Random Forest,0.7745424719331522,0.5999160408283178,0.7745424719331522,0.6761360185138663,0.6105115921168386,47.29
Naive Bayes,0.7744912082842057,0.7097863134006518,0.7744912082842057,0.6777432245874833,0.5164574818769572,8.64
LinearSVC,0.7745424719331522,0.712666608994514,0.7745424719331523,0.6762328132748071,0.5486417766834912,42.14
GBTClassifier,0.7748500538268314,0.7182515102943593,0.7748500538268314,0.688742971145838,0.6222656442463227,113.81
Random Forest (CV),0.7745424719331522,0.5999160408283178,0.7745424719331522,0.6761360185138663,0.6105139999646648,240.09
GBTClassifier (CV),0.0,0.0,0.0,0.0,0.6170307046647927,231.27
